iter	Passed	Remaining
0	2	2766
1	9	4964
2	14	4962
3	16	3996
4	17	3402
5	18	3033
6	19	2773
7	21	2649
8	27	2994
9	28	2811
10	29	2658
11	30	2527
12	31	2409
13	32	2320
14	39	2577
15	41	2537
16	42	2455
17	43	2383
18	44	2311
19	45	2248
20	46	2188
21	48	2140
22	49	2089
23	50	2049
24	51	2008
25	52	1967
26	53	1940
27	54	1906
28	56	1888
29	57	1866
30	67	2100
31	68	2064
32	69	2051
33	71	2018
34	72	1986
35	73	1958
36	74	1931
37	75	1905
38	76	1882
39	77	1860
40	82	1927
41	84	1919
42	85	1909
43	86	1885
44	87	1866
45	89	1847
46	90	1829
47	91	1811
48	92	1794
49	93	1778
50	94	1763
51	95	1749
52	97	1734
53	98	1720
54	99	1707
55	100	1692
56	101	1679
57	102	1668
58	103	1654
59	104	1641
60	105	1629
61	106	1618
62	108	1607
63	109	1595
64	110	1595
65	112	1586
66	113	1576
67	114	1566
68	115	1558
69	116	1553
70	118	1553
71	119	1543
72	121	1537
73	122	1528
74	123	1520
75	124	1511
76	125	1503
77	126	1496
78	127	1488
79	128	1480
80	129	1472
81	130	1465
82	132	1459
83	133	1452
84	134	1445
85	135	1439
86	136	1432
87	137	1426
88	138	1421
89	140	1416
90	141	1413
91	142	1407
92	143	1400
93	144	1394
94	145	1387
95	146	1382
96	147	1377
97	149	1371
98	150	1367
99	151	1362
100	152	1357
101	153	1353
102	154	1348
103	155	1343
104	157	1338
105	158	1334
106	159	1330
107	161	1331
108	162	1327
109	163	1322
110	165	1324
111	171	1356
112	172	1351
113	173	1346
114	174	1341
115	175	1337
116	182	1380
117	184	1375
118	185	1370
119	186	1366
120	187	1362
121	190	1372
122	191	1367
123	192	1363
124	205	1437
125	211	1469
126	217	1497
127	219	1492
128	222	1500
129	223	1493
130	224	1487
131	225	1482
132	230	1502
133	231	1496
134	232	1490
135	234	1487
136	235	1485
137	236	1479
138	238	1475
139	239	1469
140	240	1464
141	241	1458
142	242	1453
143	243	1449
144	245	1446
145	247	1446
146	248	1444
147	250	1439
148	251	1434
149	252	1430
150	253	1425
151	254	1420
152	255	1415
153	256	1410
154	257	1406
155	259	1401
156	260	1401
157	262	1400
158	263	1395
159	265	1391
160	266	1387
161	267	1382
162	268	1378
163	269	1374
164	271	1373
165	272	1368
166	273	1364
167	279	1384
168	280	1380
169	283	1384
170	288	1400
171	290	1396
172	291	1391
173	292	1388
174	296	1398
175	303	1420
176	305	1418
177	306	1417
178	308	1415
179	309	1411
180	310	1407
181	311	1402
182	313	1398
183	317	1407
184	319	1406
185	320	1401
186	321	1397
187	322	1392
188	323	1389
189	324	1385
190	325	1380
191	326	1375
192	328	1374
193	330	1373
194	331	1370
195	333	1367
196	335	1365
197	336	1363
198	337	1359
199	339	1358
200	340	1354
201	341	1350
202	342	1346
203	344	1342
204	345	1338
205	346	1334
206	347	1330
207	348	1326
208	349	1322
209	350	1318
210	351	1314
211	352	1311
212	353	1307
213	355	1304
214	356	1300
215	357	1297
216	358	1293
217	359	1290
218	360	1286
219	361	1282
220	362	1279
221	364	1276
222	365	1272
223	366	1268
224	367	1265
225	368	1262
226	369	1258
227	370	1255
228	371	1252
229	375	1258
230	377	1255
231	378	1253
232	379	1250
233	381	1247
234	382	1243
235	383	1240
236	384	1236
237	385	1235
238	387	1232
239	388	1228
240	389	1226
241	390	1223
242	391	1219
243	392	1216
244	393	1213
245	394	1209
246	395	1207
247	397	1204
248	398	1200
249	399	1197
250	400	1194
251	401	1191
252	403	1192
253	406	1192
254	407	1191
255	409	1189
256	411	1189
257	412	1186
258	413	1184
259	415	1183
260	419	1187
261	421	1187
262	441	1238
263	450	1254
264	451	1251
265	459	1266
266	460	1265
267	462	1263
268	463	1260
269	465	1259
270	466	1255
271	467	1252
272	468	1248
273	469	1245
274	472	1245
275	474	1243
276	475	1242
277	478	1242
278	480	1240
279	481	1237
280	482	1234
281	483	1230
282	484	1227
283	485	1224
284	486	1221
285	487	1217
286	488	1214
287	489	1210
288	490	1207
289	491	1204
290	492	1201
291	494	1197
292	495	1194
293	496	1191
294	497	1188
295	498	1185
296	499	1182
297	500	1179
298	501	1175
299	502	1172
300	503	1169
301	504	1166
302	506	1164
303	507	1161
304	508	1159
305	509	1156
306	511	1154
307	512	1151
308	513	1148
309	514	1145
310	516	1144
311	517	1141
312	518	1138
313	519	1135
314	520	1132
315	521	1129
316	523	1126
317	524	1124
318	525	1121
319	526	1118
320	527	1115
321	528	1113
322	529	1110
323	530	1107
324	531	1104
325	532	1101
326	534	1099
327	535	1096
328	536	1093
329	537	1091
330	538	1088
331	539	1085
332	540	1083
333	541	1080
334	542	1077
335	544	1075
336	545	1072
337	546	1070
338	547	1067
339	548	1065
340	550	1062
341	551	1060
342	552	1057
343	553	1055
344	554	1052
345	555	1050
346	556	1047
347	557	1044
348	558	1042
349	559	1039
350	560	1037
351	562	1034
352	563	1032
353	564	1030
354	565	1027
355	566	1025
356	571	1029
357	574	1029
358	575	1028
359	577	1025
360	578	1023
361	579	1020
362	580	1019
363	581	1016
364	583	1014
365	584	1011
366	585	1009
367	586	1007
368	587	1004
369	588	1002
370	590	1000
371	603	1018
372	605	1018
373	610	1021
374	613	1022
375	618	1026
376	619	1024
377	621	1022
378	626	1026
379	629	1026
380	630	1024
381	631	1022
382	633	1019
383	634	1017
384	635	1014
385	636	1012
386	637	1009
387	638	1006
388	639	1004
389	640	1002
390	641	999
391	642	997
392	644	995
393	645	992
394	646	990
395	647	987
396	648	985
397	649	982
398	650	980
399	652	978
400	656	981
401	659	981
402	669	991
403	671	990
404	673	989
405	675	988
406	676	986
407	681	989
408	683	987
409	685	985
410	686	984
411	688	982
412	689	980
413	690	977
414	692	975
415	693	974
416	694	971
417	696	969
418	697	966
419	698	965
420	700	962
421	701	960
422	702	958
423	703	955
424	704	953
425	705	950
426	706	948
427	707	946
428	709	944
429	711	943
430	712	941
431	714	938
432	715	936
433	716	934
434	717	932
435	718	929
436	719	927
437	720	925
438	722	922
439	723	920
440	724	918
441	725	915
442	727	914
443	728	912
444	729	909
445	730	907
446	731	905
447	732	902
448	734	900
449	735	898
450	736	896
451	737	893
452	738	891
453	739	889
454	740	887
455	741	885
456	743	882
457	744	880
458	745	878
459	746	876
460	747	874
461	748	871
462	749	869
463	750	867
464	752	865
465	754	864
466	758	865
467	771	876
468	772	874
469	777	876
470	778	874
471	780	872
472	782	872
473	784	870
474	785	867
475	786	865
476	787	863
477	788	860
478	789	858
479	791	857
480	792	855
481	793	853
482	794	850
483	796	848
484	797	846
485	798	844
486	799	842
487	800	840
488	802	838
489	803	836
490	809	839
491	815	842
492	819	842
493	821	840
494	826	842
495	833	846
496	834	844
497	835	842
498	837	840
499	838	838
500	840	836
501	842	835
502	843	832
503	844	830
504	845	828
505	846	826
506	847	824
507	848	821
508	850	820
509	851	818
510	852	815
511	854	814
512	855	811
513	856	809
514	857	807
515	858	805
516	859	803
517	860	800
518	862	798
519	863	797
520	868	798
521	870	797
522	871	795
523	873	793
524	874	791
525	875	789
526	879	789
527	880	787
528	881	785
529	882	782
530	887	783
531	889	782
532	890	780
533	895	781
534	896	779
535	898	777
536	902	778
537	904	776
538	911	779
539	913	778
540	915	777
541	917	775
542	918	772
543	919	770
544	920	768
545	921	766
546	923	764
547	924	762
548	925	759
549	926	757
550	927	755
551	928	753
552	929	751
553	930	749
554	931	747
555	932	744
556	933	742
557	935	740
558	936	738
559	937	736
560	939	734
561	940	732
562	941	730
563	942	728
564	947	729
565	950	728
566	954	728
567	959	729
568	960	727
569	964	727
570	968	727
571	975	729
572	977	728
573	983	729
574	984	727
575	989	728
576	990	726
577	992	724
578	993	722
579	994	720
580	996	718
581	998	716
582	999	714
583	1000	712
584	1001	710
585	1003	708
586	1004	706
587	1005	704
588	1006	702
589	1008	700
590	1009	698
591	1010	696
592	1011	694
593	1016	694
594	1018	693
595	1019	691
596	1026	692
597	1028	691
598	1030	689
599	1032	688
600	1034	686
601	1035	684
602	1038	683
603	1040	682
604	1041	680
605	1043	678
606	1044	676
607	1046	674
608	1047	672
609	1053	673
610	1060	675
611	1064	675
612	1066	673
613	1068	671
614	1070	669
615	1071	668
616	1072	665
617	1074	663
618	1075	661
619	1076	659
620	1077	657
621	1078	655
622	1079	652
623	1080	650
624	1081	648
625	1082	646
626	1083	644
627	1085	642
628	1086	640
629	1087	638
630	1088	636
631	1089	634
632	1090	632
633	1091	630
634	1092	627
635	1093	625
636	1094	623
637	1095	621
638	1097	619
639	1098	617
640	1103	617
641	1105	616
642	1106	614
643	1108	612
644	1109	610
645	1110	608
646	1112	606
647	1113	604
648	1114	603
649	1116	601
650	1117	599
651	1119	597
652	1120	595
653	1121	593
654	1126	593
655	1136	596
656	1138	594
657	1148	596
658	1149	594
659	1150	592
660	1152	591
661	1157	591
662	1158	589
663	1159	586
664	1161	584
665	1164	583
666	1169	583
667	1170	581
668	1177	582
669	1178	580
670	1179	578
671	1189	580
672	1191	578
673	1192	576
674	1194	575
675	1201	575
676	1205	574
677	1210	574
678	1213	573
679	1224	576
680	1228	575
681	1232	574
682	1248	579
683	1249	577
684	1250	575
685	1253	573
686	1256	572
687	1260	571
688	1263	570
689	1268	569
690	1269	567
691	1270	565
692	1275	565
693	1280	564
694	1281	562
695	1283	560
696	1284	558
697	1287	557
698	1288	554
699	1289	552
700	1291	550
701	1295	549
702	1297	548
703	1298	545
704	1303	545
705	1304	543
706	1308	542
707	1319	544
708	1320	541
709	1322	540
710	1327	539
711	1329	537
712	1335	537
713	1337	535
714	1339	533
715	1340	531
716	1341	529
717	1342	527
718	1344	525
719	1346	523
720	1348	521
721	1349	519
722	1350	517
723	1351	515
724	1352	513
725	1353	511
726	1354	508
727	1356	506
728	1357	504
729	1359	502
730	1361	501
731	1363	499
732	1365	497
733	1366	495
734	1367	493
735	1368	490
736	1370	489
737	1371	487
738	1372	484
739	1374	482
740	1375	480
741	1376	478
742	1377	476
743	1381	475
744	1383	473
745	1384	471
746	1385	469
747	1386	467
748	1388	465
749	1389	463
750	1390	460
751	1391	458
752	1397	458
753	1405	458
754	1409	457
755	1413	456
756	1417	454
757	1421	453
758	1422	451
759	1425	450
760	1426	448
761	1432	447
762	1434	445
763	1435	443
764	1436	441
765	1439	439
766	1440	437
767	1443	436
768	1444	433
769	1445	431
770	1448	430
771	1450	428
772	1452	426
773	1461	426
774	1462	424
775	1463	422
776	1465	420
777	1468	419
778	1470	417
779	1472	415
780	1479	414
781	1481	413
782	1483	411
783	1485	409
784	1487	407
785	1488	405
786	1489	403
787	1490	401
788	1491	398
789	1493	397
790	1497	395
791	1499	393
792	1500	391
793	1501	389
794	1502	387
795	1503	385
796	1505	383
797	1506	381
798	1508	379
799	1510	377
800	1511	375
801	1512	373
802	1513	371
803	1514	369
804	1515	367
805	1517	365
806	1518	363
807	1519	360
808	1520	358
809	1521	356
810	1522	354
811	1523	352
812	1524	350
813	1526	348
814	1527	346
815	1528	344
816	1529	342
817	1531	340
818	1532	338
819	1533	336
820	1534	334
821	1535	332
822	1536	330
823	1537	328
824	1538	326
825	1540	324
826	1541	322
827	1542	320
828	1555	320
829	1559	319
830	1561	317
831	1562	315
832	1563	313
833	1564	311
834	1565	309
835	1566	307
836	1567	305
837	1568	303
838	1570	301
839	1571	299
840	1572	297
841	1573	295
842	1578	293
843	1579	291
844	1580	290
845	1585	288
846	1595	288
847	1605	287
848	1607	285
849	1609	284
850	1611	282
851	1613	280
852	1615	278
853	1617	276
854	1625	275
855	1632	274
856	1638	273
857	1639	271
858	1641	269
859	1642	267
860	1644	265
861	1645	263
862	1646	261
863	1648	259
864	1649	257
865	1650	255
866	1651	253
867	1653	251
868	1655	249
869	1661	248
870	1662	246
871	1664	244
872	1668	242
873	1670	240
874	1671	238
875	1672	236
876	1673	234
877	1679	233
878	1680	231
879	1681	229
880	1682	227
881	1683	225
882	1685	223
883	1686	221
884	1687	219
885	1688	217
886	1690	215
887	1691	213
888	1692	211
889	1693	209
890	1694	207
891	1695	205
892	1696	203
893	1697	201
894	1698	199
895	1703	197
896	1704	195
897	1706	193
898	1707	191
899	1709	189
900	1710	187
901	1712	186
902	1713	184
903	1714	182
904	1715	180
905	1716	178
906	1718	176
907	1719	174
908	1723	172
909	1725	170
910	1727	168
911	1732	167
912	1734	165
913	1735	163
914	1736	161
915	1738	159
916	1743	157
917	1745	155
918	1750	154
919	1752	152
920	1758	150
921	1762	149
922	1763	147
923	1767	145
