iter	RMSE
0	10.50333734
1	10.4879083
2	10.46864189
3	10.44321421
4	10.42537913
5	10.41097091
6	10.39438062
7	10.37133216
8	10.35629963
9	10.33805865
10	10.31526516
11	10.2908391
12	10.27444215
13	10.25116254
14	10.23141629
15	10.21785637
16	10.1957046
17	10.17306112
18	10.15808007
19	10.14321509
20	10.11930801
21	10.09170171
22	10.06833175
23	10.05438742
24	10.03803873
25	10.01591765
26	10.00369929
27	9.988834844
28	9.973694577
29	9.950476482
30	9.932437142
31	9.912643169
32	9.897199006
33	9.878613645
34	9.864490066
35	9.855554741
36	9.844442588
37	9.834994933
38	9.81271819
39	9.787028924
40	9.766092379
41	9.751643666
42	9.737234998
43	9.722524831
44	9.704808778
45	9.689226575
46	9.679984142
47	9.670612278
48	9.657155193
49	9.636658829
50	9.620343725
51	9.609835461
52	9.593419623
53	9.57958789
54	9.571872076
55	9.552568678
56	9.545082636
57	9.530111387
58	9.523960813
59	9.503155771
60	9.493956104
61	9.481162747
62	9.471710221
63	9.462012629
64	9.457517577
65	9.441545994
66	9.432903213
67	9.423324504
68	9.404069828
69	9.383161703
70	9.376482711
71	9.369314157
72	9.349748515
73	9.337556236
74	9.31870008
75	9.309681622
76	9.292140497
77	9.273086228
78	9.255556197
79	9.242002306
80	9.223398418
81	9.211546893
82	9.194131333
83	9.185051325
84	9.17036374
85	9.157835782
86	9.149353885
87	9.130470838
88	9.12199293
89	9.105987406
90	9.094701639
91	9.084538111
92	9.071136027
93	9.064864311
94	9.04648164
95	9.032950912
96	9.022677356
97	9.0095884
98	8.998104512
99	8.991386873
