iter	Passed	Remaining
0	1	174
1	3	167
2	4	158
3	6	151
4	7	149
5	9	147
6	10	143
7	12	141
8	16	171
9	18	168
10	20	163
11	21	160
12	23	156
13	24	152
14	26	148
15	27	145
16	29	142
17	30	139
18	32	138
19	34	136
20	35	133
21	37	131
22	38	129
23	40	127
24	41	125
25	43	123
26	44	121
27	46	120
28	48	117
29	49	115
30	51	113
31	54	115
32	56	114
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	65	103
39	67	101
40	68	99
41	70	97
42	73	97
43	75	95
44	77	95
45	79	93
46	80	91
47	82	89
48	84	87
49	86	86
50	88	85
51	90	83
52	92	81
53	94	80
54	96	78
55	97	76
56	99	74
57	100	73
58	102	71
59	104	69
60	105	67
61	107	65
62	108	63
63	110	61
64	111	60
65	113	58
66	115	56
67	117	55
68	118	53
69	120	51
70	121	49
71	123	47
72	124	46
73	126	44
74	127	42
75	129	40
76	133	39
77	135	38
78	137	36
79	139	34
80	140	32
81	141	31
82	143	29
83	145	27
84	146	25
85	148	24
86	154	23
87	155	21
88	157	19
89	158	17
90	160	15
91	162	14
92	163	12
93	165	10
94	166	8
95	168	7
96	172	5
97	173	3
98	175	1
99	177	0
