iter	RMSE
0	1.207631277
1	1.185249918
2	1.163096482
3	1.14572231
4	1.127615642
5	1.107706869
6	1.090356497
7	1.072328569
8	1.055403193
9	1.038951734
10	1.025582983
11	1.012592889
12	1.001058223
13	0.9901893994
14	0.9776719442
15	0.9670885992
16	0.954731474
17	0.9447662447
18	0.9347162332
19	0.923752173
20	0.9102154051
21	0.9035948255
22	0.8950168205
23	0.8852300508
24	0.8788450359
25	0.8734021436
26	0.8649181692
27	0.8578289889
28	0.8529083374
29	0.8475336996
30	0.8424110459
31	0.8368730446
32	0.8304274266
33	0.8249157711
34	0.820621629
35	0.8143396633
36	0.8079095188
37	0.8023457257
38	0.7964910233
39	0.7906100108
40	0.7849606135
41	0.7819408569
42	0.7784755803
43	0.7749475059
44	0.7718830111
45	0.7681315595
46	0.7647523337
47	0.7609510344
48	0.7564983386
49	0.7539880726
50	0.7496910986
51	0.7469583108
52	0.7447140539
53	0.7424166447
54	0.7398144204
55	0.737859997
56	0.7353476954
57	0.7334966099
58	0.7306572459
59	0.727966014
60	0.7247065116
61	0.7215239147
62	0.7195328269
63	0.7171882939
64	0.7150348455
65	0.7123896179
66	0.7092890836
67	0.7082195775
68	0.7059045115
69	0.7035249525
70	0.7016664612
71	0.6999105867
72	0.6977567058
73	0.6955099983
74	0.6937771929
75	0.6917221236
76	0.6906999261
77	0.68884206
78	0.6869073956
79	0.6853022753
80	0.6844896232
81	0.6823315144
82	0.6800300091
83	0.6786325298
84	0.6768678875
85	0.6749476299
86	0.6734673738
87	0.6713163316
88	0.6704360378
89	0.668690425
90	0.6670968758
91	0.6658313045
92	0.6646270138
93	0.6632811426
94	0.6621550263
95	0.6609789218
96	0.6595318285
97	0.6580998083
98	0.6570651533
99	0.6553055649
100	0.6545663874
101	0.6537905118
102	0.6526837728
103	0.6514761717
104	0.650207042
105	0.6491695249
106	0.648065885
107	0.6473186529
108	0.6459303746
109	0.6453108218
110	0.6446144272
111	0.6433469351
112	0.6424593796
113	0.6413749209
114	0.6404431999
115	0.6391757705
116	0.6379853511
117	0.6369146755
118	0.6350718429
119	0.6338667418
120	0.6332171696
121	0.63204875
122	0.6314099695
123	0.630545679
124	0.6292867631
125	0.6281388996
126	0.6265329614
127	0.6249350175
128	0.6232203395
129	0.6220524081
130	0.621259331
131	0.6201374195
132	0.6190377991
133	0.6180700365
134	0.6161959414
135	0.6142425798
136	0.6132130642
137	0.6121213488
138	0.6106745409
139	0.6100816371
140	0.6090987692
141	0.6080989419
142	0.6071962728
143	0.6059826892
144	0.6051796083
145	0.6048098649
146	0.6038778507
147	0.602920337
148	0.601915898
